name arrivalTime executionTime cpu
t696 5 8 7
t697 3 5 2
t698 16 9 1
t699 16 8 5
t700 12 8 2
t701 1 8 1
t702 11 6 9
t703 15 7 8
t704 8 9 8
t705 0 7 7
t706 16 7 6
t707 19 9 4
t708 8 5 1
t709 6 10 5
t710 10 6 5
t711 0 8 6
t712 5 8 10
t713 10 8 9
t714 5 7 5
t715 15 5 8
t716 16 7 6
t717 8 5 9
t718 16 9 5
t719 5 9 1
t720 10 5 10
t721 7 6 4
t722 15 5 6
t723 2 9 5
t724 13 5 2
t725 12 10 7
t726 13 7 2
t727 11 8 3
t728 8 10 2
t729 8 5 8
t730 3 6 8
t731 0 5 9
t732 9 7 6
t733 11 10 1
t734 1 5 6
t735 12 9 8
t736 5 6 1
t737 15 5 10
t738 11 10 6
t739 7 5 6
t740 10 5 8
t741 16 10 2
t742 6 5 10
t743 2 6 9
t744 19 8 5
t745 9 8 3
t746 13 7 5
t747 19 8 5
t748 3 8 7
t749 10 9 8
t750 8 10 7
t751 8 8 9
t752 12 5 7
t753 3 5 3
t754 8 5 4
t755 1 8 9
t756 10 10 5
t757 19 6 2
t758 16 10 10
t759 5 6 9
t760 11 7 6
t761 2 8 6
t762 10 7 9
t763 11 9 9
t764 6 6 3
t765 14 8 3
t766 17 10 9
t767 12 6 7
t768 4 9 10
t769 14 7 1
t770 7 5 5
t771 10 6 10
t772 11 7 6
t773 11 5 9
t774 11 7 7
t775 6 9 1
t776 5 10 8
t777 11 8 1
t778 3 8 8
t779 9 7 6
t780 10 9 10
t781 5 10 7
t782 15 5 7
t783 6 7 8
t784 1 10 10
t785 15 6 1
t786 2 8 2
t787 12 6 7
t788 19 7 3
t789 17 7 5
t790 6 5 5
t791 9 8 2
t792 1 8 7
t793 18 7 10
t794 13 9 5
t795 7 10 3
t796 4 8 3
t797 13 8 1
t798 15 7 1
t799 19 9 4
t800 10 10 3
t801 0 5 3
t802 13 8 9
t803 11 6 5
t804 7 8 1
t805 11 9 7
t806 13 8 2
t807 4 8 6
t808 16 6 9
t809 16 5 4
t810 4 6 9
t811 0 8 10
t812 12 6 7
t813 4 10 8
t814 8 6 5
t815 18 6 6
t816 18 9 2
t817 2 9 6
t818 4 7 2
t819 14 6 7
t820 10 10 9
t821 8 9 3
t822 16 5 5
t823 14 5 1
t824 19 5 10
t825 6 8 1
t826 15 8 3
t827 13 9 10
t828 18 7 6
t829 5 6 8
t830 12 9 7
t831 0 9 10
t832 9 7 5
t833 6 8 5
t834 9 5 9
t835 0 9 6
t836 7 10 6
t837 2 10 10
t838 19 9 3
t839 13 7 10
t840 2 8 5
t841 18 10 2
t842 10 8 2
t843 11 6 5
t844 10 10 7
t845 15 9 3
t846 11 8 4
t847 16 8 9
t848 10 10 8
t849 16 5 3
t850 13 7 5
t851 13 10 6
t852 19 10 7
t853 7 8 6
t854 16 9 7
t855 8 10 7
t856 11 6 8
t857 7 10 7
t858 8 10 9
t859 1 7 5
t860 8 10 8
t861 2 9 2
t862 13 6 3
t863 19 10 10
t864 8 8 9
t865 1 5 3
t866 5 9 5
t867 11 10 8
t868 16 10 10
t869 12 5 2
t870 12 5 3
t871 0 10 3
t872 2 10 4
t873 9 10 7
t874 13 7 3
t875 19 7 7
t876 15 9 5
t877 14 10 9
t878 3 7 10
t879 11 10 4
t880 5 10 5
t881 6 5 6
t882 11 9 6
t883 19 7 9
t884 3 10 4
t885 7 7 4
t886 2 9 2
t887 2 10 10
t888 8 10 9
t889 5 9 4
t890 2 7 8
t891 17 10 2
t892 3 9 10
t893 0 5 7
t894 18 7 8
t895 5 10 7
t896 2 6 5
t897 9 7 9
t898 7 5 6
t899 12 9 1
t900 11 8 8
t901 3 8 9
t902 10 7 9
t903 8 6 6
t904 4 9 7
t905 8 6 6
t906 1 10 8
t907 7 8 9
t908 16 7 2
t909 5 5 10
t910 9 8 10
t911 16 7 3
t912 11 10 8
t913 19 8 3
t914 10 5 4
t915 10 10 4
t916 6 5 3
t917 2 10 10
t918 15 7 6
t919 6 6 4
t920 16 9 10
t921 3 8 4
t922 11 7 10
t923 13 5 7
t924 9 5 5
t925 18 9 9
t926 5 10 3
t927 0 7 2
t928 18 7 6
t929 13 9 8
t930 11 7 4
t931 15 9 4
t932 2 5 5
t933 1 9 7
t934 9 10 2
t935 8 5 8
t936 7 7 8
t937 15 6 10
t938 7 5 1
t939 9 5 2
t940 7 6 7
t941 0 6 6
t942 2 7 5
t943 2 6 5
t944 17 7 9
t945 15 8 8
t946 9 5 9
t947 15 7 3
t948 9 6 3
t949 10 8 2
t950 11 5 6
t951 8 6 8
t952 4 7 8
t953 15 5 7
t954 9 9 5
t955 13 5 8
t956 18 6 8
t957 18 5 1
t958 5 5 5
t959 8 9 9
t960 12 5 1
t961 12 6 1
t962 14 8 2
t963 14 8 3
t964 7 5 7
t965 15 7 7
t966 7 10 3
t967 18 5 8
t968 8 9 4
t969 17 8 3
t970 18 10 6
t971 0 8 5
t972 3 5 6
t973 17 5 8
t974 9 8 10
t975 18 9 10
t976 4 6 9
t977 9 7 3
t978 5 7 8
t979 2 6 7
t980 12 5 6
t981 16 6 4
t982 7 9 6
t983 6 10 5
t984 2 7 3
t985 2 8 1
t986 3 5 3
t987 2 5 6
t988 12 9 3
t989 18 6 9
t990 4 5 7
t991 4 8 4
t992 8 6 3
t993 3 6 5
t994 8 6 1
t995 10 8 7
t996 1 8 7
t997 18 7 5
t998 9 6 4
t999 0 10 4
t1000 3 9 3
t1001 3 6 5
t1002 2 7 4
t1003 3 7 4
t1004 8 7 7
t1005 15 6 9
t1006 8 7 4
t1007 18 7 6
t1008 11 5 2
t1009 14 7 7
t1010 5 9 3
t1011 3 9 3
t1012 5 6 3
t1013 13 6 5
t1014 16 5 4
t1015 1 10 7
t1016 15 7 1
t1017 0 6 5
t1018 4 10 1
t1019 19 9 10
t1020 15 9 5
t1021 2 8 1
t1022 12 9 10
t1023 12 10 4
t1024 16 6 10
t1025 11 9 8
t1026 8 7 3
t1027 14 5 5
t1028 16 10 3
t1029 13 10 10
t1030 5 8 6
t1031 4 8 4
t1032 6 7 5
t1033 4 5 1
t1034 16 8 1
t1035 19 10 10
t1036 5 7 1
t1037 16 6 10
t1038 16 8 7
t1039 16 7 2
t1040 4 7 10
t1041 18 5 6
t1042 12 10 8
t1043 8 9 2
t1044 19 6 4
t1045 8 10 2
t1046 3 9 4
t1047 7 10 5
t1048 14 6 8
t1049 16 10 5
t1050 11 10 6
t1051 16 5 9
t1052 13 10 4
t1053 16 6 5
t1054 12 5 4
t1055 7 6 8
t1056 0 7 6
t1057 4 7 9
t1058 4 5 2
t1059 0 7 7
t1060 9 8 6
t1061 6 7 3
t1062 12 10 5
t1063 10 8 1
t1064 10 9 4
t1065 1 8 9
t1066 12 5 6
t1067 12 9 5
t1068 16 7 10
t1069 17 9 2
t1070 5 6 3
t1071 3 7 9
t1072 15 9 2
t1073 2 9 6
t1074 4 6 5
t1075 9 6 4
t1076 1 8 8
t1077 18 7 9
t1078 9 8 8
t1079 9 7 5
t1080 2 8 2
t1081 19 7 4
t1082 10 8 2
t1083 15 7 10
t1084 12 9 10
t1085 12 8 3
t1086 8 10 7
t1087 11 10 3
t1088 0 5 9
t1089 13 5 4
t1090 18 10 6
t1091 10 8 8
t1092 1 9 3
t1093 19 10 10
t1094 14 8 2
t1095 12 6 9
t1096 4 6 5
t1097 18 8 6
t1098 4 7 9
t1099 8 6 10
t1100 8 5 4
t1101 0 10 2
t1102 13 7 4
t1103 2 10 6
t1104 6 8 4
t1105 8 7 1
t1106 1 7 5
t1107 14 7 2
t1108 3 9 3
t1109 11 10 3
t1110 0 9 1
t1111 15 7 9
t1112 1 5 1
t1113 10 10 7
t1114 3 8 9
t1115 17 10 6
t1116 3 7 3
t1117 0 5 5
t1118 1 6 1
t1119 7 9 9
t1120 0 5 7
t1121 19 10 3
t1122 6 6 7
t1123 8 5 1
t1124 8 8 7
t1125 12 9 6
t1126 11 9 7
t1127 10 9 3
t1128 6 7 7
t1129 3 7 3
t1130 19 7 5
t1131 15 7 2
t1132 6 6 1
t1133 0 10 8
t1134 13 8 10
t1135 17 5 7
t1136 9 7 6
t1137 1 5 8
t1138 15 8 2
t1139 11 6 1
t1140 6 8 3
t1141 1 5 2
t1142 6 5 10
t1143 0 6 6
t1144 1 8 9
t1145 7 6 9
t1146 14 9 1
t1147 2 5 10
t1148 1 5 5
t1149 2 8 2
t1150 9 7 5
t1151 9 5 1
t1152 6 6 1
t1153 14 8 1
t1154 1 8 1
t1155 7 9 2
t1156 7 9 9
t1157 7 10 5
t1158 14 7 9
t1159 11 6 3
t1160 13 8 10
t1161 11 6 8
t1162 1 7 1
t1163 15 8 2
t1164 0 8 3
t1165 9 9 7
t1166 7 6 3
t1167 12 9 2
t1168 15 5 7
t1169 11 7 6
t1170 11 9 1
t1171 8 7 4
t1172 9 5 10
t1173 5 5 8
t1174 0 7 5
t1175 18 5 9
t1176 4 5 3
t1177 18 10 6
t1178 17 9 9
t1179 17 9 1
t1180 2 8 7
t1181 9 8 4
t1182 1 8 5
t1183 19 6 1
t1184 11 6 10
t1185 7 10 6
t1186 8 9 10
t1187 16 8 10
t1188 15 6 10
t1189 1 7 1
t1190 10 10 5
t1191 4 5 6
t1192 15 6 1
t1193 1 6 1
t1194 18 6 2
t1195 1 9 7
t1196 17 10 5
t1197 9 5 2
t1198 16 9 2
t1199 1 5 8
t1200 6 9 9
t1201 19 9 5
t1202 19 9 4
t1203 0 9 9
t1204 0 9 3
t1205 14 10 1
t1206 11 5 8
t1207 10 7 7
t1208 10 10 9
t1209 3 9 8
t1210 4 9 6
t1211 0 9 8
t1212 14 5 5
t1213 14 8 6
t1214 11 8 3
t1215 15 6 1
t1216 5 6 4
t1217 19 9 10
t1218 3 8 3
t1219 5 7 5
t1220 6 6 3
t1221 9 9 2
t1222 19 10 7
t1223 2 7 3
t1224 11 5 2
t1225 8 9 6
t1226 19 9 9
t1227 0 7 1
t1228 13 9 5
t1229 5 9 7
t1230 19 9 5
t1231 16 5 5
t1232 15 8 10
t1233 10 7 4
t1234 6 9 6
t1235 4 6 2
t1236 6 7 4
t1237 14 10 9
t1238 13 9 5
t1239 16 10 4
t1240 13 7 4
t1241 13 5 3
t1242 19 10 3
t1243 18 10 6
t1244 12 9 9
t1245 19 8 2
t1246 1 8 3
t1247 16 10 2
t1248 8 9 4
t1249 13 6 2
t1250 3 6 7
t1251 12 9 6
t1252 13 7 1
t1253 7 10 6
t1254 8 7 10
t1255 7 6 7
t1256 16 8 3
t1257 8 7 8
t1258 0 10 1
t1259 15 7 9
t1260 18 10 2
t1261 10 10 10
t1262 2 6 6
t1263 3 5 10
t1264 1 8 1
t1265 17 6 8
t1266 10 5 4
t1267 7 7 8
t1268 5 6 1
t1269 2 8 3
t1270 7 7 10
t1271 0 8 10
t1272 1 6 2
t1273 14 7 8
t1274 8 6 3
t1275 19 5 6
t1276 7 8 7
t1277 4 5 7
t1278 5 9 7
t1279 19 5 8
t1280 6 7 2
t1281 9 10 10
t1282 8 10 5
t1283 12 5 5
t1284 19 7 5
t1285 19 9 4
t1286 10 5 6
t1287 17 10 1
t1288 19 9 3
t1289 16 5 5
t1290 7 6 10
t1291 10 7 5
t1292 10 6 6
t1293 4 8 4
t1294 7 7 5
t1295 10 10 9
t1296 15 8 8
t1297 16 7 1
t1298 13 10 10
t1299 3 7 10
t1300 17 6 1
t1301 6 6 6
t1302 10 5 8
t1303 0 10 5
t1304 11 10 3
t1305 7 10 1
t1306 0 8 5
t1307 2 8 7
t1308 4 5 4
t1309 18 9 5
t1310 1 7 8
t1311 19 10 3
t1312 11 8 2
t1313 16 10 5
t1314 17 10 4
t1315 9 7 3
t1316 2 8 10
t1317 7 9 8
t1318 18 9 2
t1319 8 10 4
t1320 18 9 7
t1321 3 9 1
t1322 16 5 2
t1323 9 9 4
t1324 4 8 1
t1325 7 5 8
t1326 9 7 1
t1327 11 8 5
t1328 17 9 4
t1329 7 9 3
t1330 0 7 4
t1331 6 8 10
t1332 15 5 10
t1333 5 9 3
t1334 13 10 6
t1335 10 7 7
t1336 6 7 8
t1337 7 6 9
t1338 17 10 1
t1339 3 9 9
t1340 7 6 2
t1341 16 5 2
t1342 18 9 1
t1343 16 8 9
t1344 5 6 1
t1345 19 5 8
t1346 1 8 10
t1347 7 8 6
t1348 11 7 2
t1349 18 9 5
t1350 3 5 1
t1351 9 9 1
t1352 9 9 10
t1353 2 5 9
t1354 6 7 10
t1355 2 8 4
t1356 2 9 10
t1357 15 6 10
t1358 19 6 8
t1359 13 6 2
t1360 15 6 3
t1361 5 8 3
t1362 18 10 4
t1363 1 5 10
t1364 2 8 3
t1365 12 5 8
t1366 4 6 8
t1367 6 9 8
t1368 12 9 10
t1369 5 5 9
t1370 10 5 6
t1371 17 5 10
t1372 6 6 5
t1373 6 8 5
t1374 11 7 6
t1375 5 9 8
t1376 0 5 3
t1377 8 7 3
t1378 18 9 5
t1379 6 6 2
t1380 2 8 6
t1381 2 7 9
t1382 19 10 1
t1383 16 5 5
t1384 14 9 2
t1385 7 9 4
t1386 3 5 10
t1387 17 8 6
t1388 17 6 3
t1389 3 7 6
t1390 5 6 10
t1391 15 9 6
t1392 3 7 1
t1393 17 5 1
t1394 2 9 2
t1395 9 7 2
t1396 15 10 5
t1397 2 7 4
t1398 3 9 8
t1399 1 10 2
t1400 13 7 6
t1401 13 7 8
t1402 6 9 1
t1403 6 7 4
t1404 4 8 1
t1405 10 7 9
t1406 13 5 10
t1407 12 10 5
t1408 0 6 4
t1409 7 5 10
t1410 6 6 7
t1411 16 8 1
t1412 14 6 7
t1413 15 5 9
t1414 11 9 5
t1415 18 5 4
t1416 6 8 6
t1417 4 5 10
t1418 1 9 6
t1419 8 10 3
t1420 7 10 2
t1421 10 6 2
t1422 13 8 5
t1423 7 9 1
t1424 3 8 4
t1425 15 6 7
t1426 15 8 10
t1427 9 7 9
t1428 12 8 6
t1429 5 5 9
t1430 5 10 3
t1431 18 6 9
t1432 2 5 3
t1433 17 6 5
t1434 10 10 2
t1435 15 7 1
t1436 19 8 6
t1437 7 8 2
t1438 13 9 2
t1439 15 7 2
t1440 3 10 1
t1441 17 10 7
t1442 14 10 5
t1443 4 8 4
t1444 14 7 2
t1445 4 10 9
t1446 1 9 4
t1447 17 7 9
t1448 3 8 6
t1449 10 9 1
t1450 18 7 2
t1451 6 5 10
t1452 3 6 4
t1453 8 6 2
t1454 10 6 7
t1455 2 9 3
t1456 10 9 5
t1457 7 5 7
t1458 10 9 6
t1459 16 9 9
t1460 8 10 1
t1461 4 10 3
t1462 1 9 8
t1463 10 6 9
t1464 9 10 9
t1465 16 8 1
t1466 19 9 4
t1467 12 7 2
t1468 11 8 6
t1469 1 8 3
t1470 8 9 10
t1471 15 8 10
t1472 5 5 8
t1473 0 10 4
t1474 16 6 2
t1475 5 6 5
t1476 6 10 10
t1477 7 9 3
t1478 2 7 4
t1479 11 7 9
t1480 0 10 4
t1481 4 10 8
t1482 0 6 6
t1483 4 9 10
t1484 0 7 4
t1485 1 7 3
t1486 13 6 10
t1487 6 10 3
t1488 8 5 2
t1489 5 10 6
t1490 12 6 7
t1491 2 10 5
t1492 10 7 1
t1493 14 7 6
t1494 3 10 5
t1495 3 5 7
t1496 14 9 6
